,fluxes
13BGH,0.0
13BGHe,0.0
13GS,3.6580852596929874e-17
16GS,0.0
23CAPPD,0.0
2DDA7Ptm,0.0
2DHPtm,0.0
2DOXG6PP,0.0
2HBO,0.0
2HBt2,0.0
2HMHMBQMTm,0.0
2HP6MPMOm,0.0
2HPMBQMTm,0.0
2HPMMBQMOm,0.0
2MBACt,0.0
2MBALDt,0.0
2MBALDtm,0.0
2MBTOHt,0.0
2MBTOHtm,0.0
2MPPALt,0.0
2MPPALtm,0.0
2OBUTtm,6.211782072108198e-18
2OXOADPtim,9.225801915087533e-18
2PHETOHt,0.0
2PHETOHtm,0.0
34HPLFM,0.0
34HPPOR,0.0
34HPPt2m,-1.2532506826600631e-18
34HPPt2p,0.0
3C3HMPt,0.0
3C3HMPtm,7.168717081641618e-18
3C4MOPtm,0.0
3DH5HPBMTm,0.0
3DH5HPBtm,0.0
3DSPHR,0.0
3HAO,0.0
3HPH5MBDCm,0.0
3IPM3MT,0.0
3MBALDt,0.0
3MBALDtm,0.0
3MOBDC,0.0
3MOBtm,-2.5252836139517597e-17
3MOPDC,0.0
3MOPt,0.0
3MOPtm,-6.8117701375408696e-18
3OPHB5Hm,0.0
3OPHB_5tm,0.0
4ABUTNtm,0.0
4ABUTtm,0.0
4ABZt,0.0
4ABZtm,0.0
4H2OGLTtm,0.0
4H2OGLTtp,0.0
4HBZCOAFm,0.0
4HBZFm,0.0
4HBZtm,0.0
4HGLSDm,0.0
4HPRO_LTtm,0.0
4HTHRS,0.0
4MOPDC,0.0
5AOPt2,0.0
5AOPtm,0.0
6PGLter,-9.348296839187223e-20
8AONNt2,0.0
AABTN,7.718650397092315e-17
AACOARb,7.481327800829882
AACTOOR,0.0
AASAD1,0.0
AASAD2,9.225801915087531e-18
AATA,9.225801915087533e-18
ABTA,0.0
ABTt,0.0
ABUTDm,0.0
ABUTt2r,0.0
ACACT1b,0.0
ACACT1m,4.98755186721992
ACACT1r,2.49377593360996
ACACT4p,0.0
ACACT5p,0.0
ACACT6p,0.0
ACACT7p,0.0
ACACT8p,0.0
ACACT9p,0.0
ACALDCD,0.0
ACALDt,0.0
ACALDtm,-4.232365145228228
ACCOAC,1.2816837321589104e-17
ACCOACrm,0.0
ACCOAtn,0.0
ACESt,0.0
ACGAM6PS,0.0
ACGAMPM,0.0
ACGKm,-2.7645381056972318e-17
ACGSm,0.0
ACHBSm,6.211782072108199e-18
ACHLE1,0.0
ACHLE2,0.0
ACHLE3,0.0
ACLSm,1.8084119057875978e-17
ACOAD1b,7.481327800829881
ACOAHim,0.0
ACOAO4p,0.0
ACOAO5p,0.0
ACOAO6p,0.0
ACOAO7p,0.0
ACOAO8p,0.0
ACOAO9p,0.0
ACOATA,0.0
ACOATAm,0.0
ACON3MT,0.0
ACONT,0.0
ACONT3m,0.0
ACONTm,0.0
ACOTAim,-2.7645381056972315e-17
ACP1e,0.0
ACPSm,0.0
ACRNtm,0.0
ACRNtp,0.0
ACS,0.0
ACSm,1.6929460580912916
ACSp,0.0
ACt2r,0.0
ACtm,1.6929460580912918
ACtp,0.0
ACtr,0.0
ADA,0.0
ADCL,0.0
ADCS,0.0
ADD,0.0
ADEt2,0.0
ADEtm,0.0
ADHAPR_SC,0.0
ADK1,3.472545913478397e-17
ADK1m,1.6929460580912918
ADK3,0.0
ADK3m,0.0
ADK4,0.0
ADK4m,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,5.039542920323871e-19
ADNUC,0.0
ADNt2,0.0
ADPT,0.0
ADSK,1.8470945133980282e-18
ADSL1r,3.7360951850407604e-18
ADSL2r,3.190992772797121e-18
ADSS,3.736095185040761e-18
AGAT_SC,7.962170066480153e-19
AGPRim,-2.764538105697232e-17
AGTi,0.0
AHCYStm,0.0
AHCi,6.028039685958661e-19
AHMMPS,0.0
AHSERL,0.0
AHSERL2,1.847094513398028e-18
AICART,5.328206843273372e-18
AIRCr,3.1909927727971205e-18
AKGDam,0.0
AKGDbm,0.0
AKGMAL,0.0
AKGt2n,0.0
AKGt2r,0.0
AKGtp,0.0
AKP1,0.0
ALASm,0.0
ALATA_L,-1.4789650309721028e-17
ALATA_Lm,0.0
ALATRS,0.0
ALAt2r,0.0
ALAtmi,0.0
ALCD19y,0.0
ALCD22xi,0.0
ALCD22xim,0.0
ALCD22yi,0.0
ALCD23xi,0.0
ALCD23xim,0.0
ALCD23yi,0.0
ALCD24xi,0.0
ALCD24xim,0.0
ALCD24yi,0.0
ALCD25xi,0.0
ALCD25xim,0.0
ALCD25yi,0.0
ALCD26xi,0.0
ALCD26xim,0.0
ALCD2ir,0.0
ALCD2irm,4.232365145228228
ALCD2x_copy1,4.232365145228227
ALCD2x_copy2,0.0
ALDD19xr,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD22x,0.0
ALDD2xm,0.0
ALDD2y,1.6929460580912892
ALDD2ym,0.0
ALLTAHr,0.0
ALLTN,0.0
ALLTNti,0.0
ALLTTti,0.0
ALPHNH,0.0
AMAOTr,0.0
AMETt2,0.0
AMETtm,0.0
AMID,0.0
AMID2,0.0
AMID3,0.0
AMPDA,0.0
AMPN,0.0
AMPtn,0.0
ANPRT,9.154883801135077e-19
ANS,9.154883801135077e-19
AOBUTDs,0.0
AP4AH,0.0
APRTO2,7.718650397092316e-17
ARAB14LO,0.0
ARAB1D2,0.0
ARABR,0.0
ARAB_Dt,0.0
ARAB_Lt,0.0
ARGN,0.0
ARGSL,5.180245869163404e-18
ARGSS,5.180245869163405e-18
ARGTRS,0.0
ARGTRSm,0.0
ARGt2m,0.0
ARGt2r,0.0
ARGt6,0.0
ARMT,0.0
ASAD,-1.6929460580912887
ASNN,0.0
ASNNe,0.0
ASNS1,3.278350994983933e-18
ASNTRS,0.0
ASNTRSm,0.0
ASNt2m,0.0
ASNt2r,0.0
ASNt6,0.0
ASNt7,0.0
ASPCT,3.565247001427953e-18
ASPGLU2m,0.0
ASPGLUtp,0.0
ASPK,1.6929460580912887
ASPOcm,0.0
ASPTA,-1.692946058091289
ASPTAm,-3.7471171037492514e-17
ASPTAp,0.0
ASPTRS,0.0
ASPTRSm,0.0
ASPt2m,-3.7471171037492514e-17
ASPt2n,2.0289212044914286e-34
ASPt2r,0.0
ASPt5n,2.0289212044914286e-34
ASPt7,0.0
