,fluxes
13BGH,0.0
13BGHe,0.0
13GS,-4.9514688334748055e-15
16GS,0.0
23CAPPD,0.0
2DDA7Ptm,0.0
2DHPtm,0.0
2DOXG6PP,0.0
2HBO,0.0
2HBt2,4.088600498347592e-16
2HMHMBQMTm,0.0
2HP6MPMOm,0.0
2HPMBQMTm,0.0
2HPMMBQMOm,0.0
2MBACt,0.0
2MBALDt,0.0
2MBALDtm,0.0
2MBTOHt,0.0
2MBTOHtm,0.0
2MPPALt,0.0
2MPPALtm,0.0
2OBUTtm,-8.408072296533264e-16
2OXOADPtim,-1.2487754495422007e-15
2PHETOHt,0.0
2PHETOHtm,0.0
34HPLFM,0.0
34HPPOR,0.0
34HPPt2m,-4.267914414768592e-16
34HPPt2p,0.0
3C3HMPt,0.0
3C3HMPtm,-2.195857903118826e-31
3C4MOPtm,0.0
3DH5HPBMTm,0.0
3DH5HPBtm,0.0
3DSPHR,0.0
3HAO,0.0
3HPH5MBDCm,0.0
3IPM3MT,0.0
3MBALDt,0.0
3MBALDtm,0.0
3MOBDC,0.0
3MOBtm,2.409686877187719e-15
3MOPDC,0.0
3MOPt,0.0
3MOPtm,8.408072296533266e-16
3OPHB5Hm,0.0
3OPHB_5tm,0.0
4ABUTNtm,0.0
4ABUTtm,0.0
4ABZt,0.0
4ABZtm,0.0
4H2OGLTtm,0.0
4H2OGLTtp,0.0
4HBZCOAFm,0.0
4HBZFm,0.0
4HBZtm,0.0
4HGLSDm,0.0
4HPRO_LTtm,0.0
4HTHRS,0.0
4MOPDC,0.0
5AOPt2,0.0
5AOPtm,0.0
6PGLter,1.8777104418814863e-16
8AONNt2,0.0
AABTN,0.0
AACTOOR,0.0
AASAD1,0.0
AASAD2,-1.2487754495422005e-15
AATA,-1.2487754495422007e-15
ABTA,0.0
ABTt,0.0
ABUTDm,0.0
ABUTt2r,0.0
ACACT1b,0.0
ACACT1m,5.965686274510997
ACACT1r,2.9828431372555007
ACACT4p,0.0
ACACT5p,0.0
ACACT6p,0.0
ACACT7p,0.0
ACACT8p,0.0
ACACT9p,0.0
ACALDCD,0.0
ACALDt,0.0
ACALDtm,0.0
ACCOAC,-1.7348466762333298e-15
ACCOACrm,0.0
ACCOAtn,0.0
ACESt,0.0
ACGAM6PS,0.0
ACGAMPM,0.0
ACGKm,-7.137480822105774e-16
ACGSm,0.0
ACHBSm,-8.408072296533263e-16
ACHLE1,0.0
ACHLE2,0.0
ACHLE3,0.0
ACLSm,-2.4096868771877192e-15
ACOAD1b,8.948529411766497
ACOAHim,0.0
ACOAO4p,0.0
ACOAO5p,0.0
ACOAO6p,0.0
ACOAO7p,0.0
ACOAO8p,0.0
ACOAO9p,0.0
ACOATA,0.0
ACOATAm,0.0
ACON3MT,0.0
ACONT,3.160347764083311e-18
ACONT3m,0.0
ACONTm,0.0
ACOTAim,-7.137480822105773e-16
ACP1e,0.0
ACPSm,0.0
ACRNtm,0.0
ACRNtp,0.0
ACS,0.0
ACSm,2.406862745100202
ACSp,0.0
ACt2r,-11.580882352941199
ACtm,2.4068627451002036
ACtp,0.0
ACtr,11.580882352941197
ADA,0.0
ADCL,0.0
ADCS,0.0
ADD,0.0
ADEt2,0.0
ADEtm,0.0
ADHAPR_SC,0.0
ADK1,-2.0765331998700163e-14
ADK1m,2.4068627451002023
ADK3,0.0
ADK3m,0.0
ADK4,0.0
ADK4m,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,-9.221277958006832e-17
ADNUC,0.0
ADNt2,0.0
ADPT,0.0
ADSK,-2.5001688769660404e-16
ADSL1r,-8.590320491831417e-15
ADSL2r,-8.527300275375214e-15
ADSS,-8.590320491831418e-15
AGAT_SC,-1.0777342279417315e-16
AGPRim,-7.137480822105774e-16
AGTi,3.3392209982982366e-15
AHCYStm,0.0
AHCi,-9.221277958006833e-17
AHMMPS,0.0
AHSERL,0.0
AHSERL2,-2.5001688769660404e-16
AICART,-8.816586831296418e-15
AIRCr,-8.527300275375214e-15
AKGDam,0.0
AKGDbm,0.0
AKGMAL,0.0
AKGt2n,0.0
AKGt2r,0.0
AKGtp,0.0
AKP1,0.0
ALASm,0.0
ALATA_L,2.6752950527982383e-15
ALATA_Lm,0.0
ALATRS,0.0
ALAt2r,4.012635630935883e-15
ALAtmi,0.0
ALCD19y,0.0
ALCD22xi,0.0
ALCD22xim,0.0
ALCD22yi,0.0
ALCD23xi,0.0
ALCD23xim,0.0
ALCD23yi,0.0
ALCD24xi,0.0
ALCD24xim,0.0
ALCD24yi,0.0
ALCD25xi,0.0
ALCD25xim,0.0
ALCD25yi,0.0
ALCD26xi,0.0
ALCD26xim,0.0
ALCD2ir,1.3480392156849714
ALCD2irm,0.0
ALCD2x_copy1,0.0
ALCD2x_copy2,0.0
ALDD19xr,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD22x,0.0
ALDD2xm,0.0
ALDD2y,2.4068627451002187
ALDD2ym,0.0
ALLTAHr,0.0
ALLTN,0.0
ALLTNti,0.0
ALLTTti,0.0
ALPHNH,0.0
AMAOTr,0.0
AMETt2,0.0
AMETtm,0.0
AMID,0.0
AMID2,0.0
AMID3,0.0
AMPDA,0.0
AMPN,0.0
AMPtn,0.0
ANPRT,-1.239176197309521e-16
ANS,-1.239176197309521e-16
AOBUTDs,0.0
AP4AH,0.0
APRTO2,0.0
ARAB14LO,0.0
ARAB1D2,0.0
ARABR,0.0
ARAB_Dt,0.0
ARAB_Lt,0.0
ARGN,0.0
ARGSL,-7.011817426325354e-16
ARGSS,-7.011817426325354e-16
ARGTRS,0.0
ARGTRSm,0.0
ARGt2m,0.0
ARGt2r,0.0
ARGt6,0.0
ARMT,0.0
ASAD,-3.7549019607851877
ASNN,0.0
ASNNe,0.0
ASNS1,-4.4374725093795174e-16
ASNTRS,0.0
ASNTRSm,0.0
ASNt2m,0.0
ASNt2r,0.0
ASNt6,0.0
ASNt7,0.0
ASPCT,-4.82580589515609e-16
ASPGLU2m,0.0
ASPGLUtp,0.0
ASPK,3.7549019607851872
ASPOcm,0.0
ASPTA,-3.7549019607851672
ASPTAm,1.7579152618652102e-16
ASPTAp,0.0
ASPTRS,0.0
ASPTRSm,0.0
ASPt2m,1.4137402041366903e-16
ASPt2n,0.0
ASPt2r,0.0
ASPt5n,0.0
