,fluxes
13BGH,0.0
13BGHe,0.0
13GS,2.0123024560987554e-15
16GS,0.0
23CAPPD,0.0
2DDA7Ptm,0.0
2DHPtm,0.0
2DOXG6PP,0.0
2HBO,0.0
2HBt2,0.0
2HMHMBQMTm,0.0
2HP6MPMOm,0.0
2HPMBQMTm,0.0
2HPMMBQMOm,0.0
2MBACt,0.0
2MBALDt,0.0
2MBALDtm,0.0
2MBTOHt,0.0
2MBTOHtm,0.0
2MPPALt,0.0
2MPPALtm,0.0
2OBUTtm,3.4170839204285346e-16
2OXOADPtim,5.075087794637504e-16
2PHETOHt,0.0
2PHETOHtm,0.0
34HPLFM,0.0
34HPPOR,0.0
34HPPt2m,0.0
34HPPt2p,0.0
3C3HMPt,0.0
3C3HMPtm,0.0
3C4MOPtm,0.0
3DH5HPBMTm,0.0
3DH5HPBtm,0.0
3DSPHR,0.0
3HAO,0.0
3HPH5MBDCm,0.0
3IPM3MT,0.0
3MBALDt,0.0
3MBALDtm,0.0
3MOBDC,0.0
3MOBtm,-9.948023245253805e-16
3MOPDC,0.0
3MOPt,0.0
3MOPtm,-8.126429900143264e-16
3OPHB5Hm,0.0
3OPHB_5tm,0.0
4ABUTNtm,0.0
4ABUTtm,0.0
4ABZt,0.0
4ABZtm,0.0
4H2OGLTtm,0.0
4H2OGLTtp,0.0
4HBZCOAFm,0.0
4HBZFm,0.0
4HBZtm,0.0
4HGLSDm,0.0
4HPRO_LTtm,0.0
4HTHRS,0.0
4MOPDC,0.0
5AOPt2,0.0
5AOPtm,0.0
6PGLter,-5.142471909311236e-18
8AONNt2,0.0
AABTN,0.0
AACTOOR,0.0
AASAD1,0.0
AASAD2,5.075087794637503e-16
AATA,5.075087794637504e-16
ABTA,0.0
ABTt,0.0
ABUTDm,0.0
ABUTt2r,0.0
ACACT1b,4.472972972972701
ACACT1m,6.445945945945901
ACACT1r,0.0
ACACT4p,0.0
ACACT5p,0.0
ACACT6p,0.0
ACACT7p,0.0
ACACT8p,0.0
ACACT9p,0.0
ACALDCD,0.0
ACALDt,0.0
ACALDtm,0.0
ACCOAC,7.050506314283268e-16
ACCOACrm,0.0
ACCOAtn,0.0
ACESt,0.0
ACGAM6PS,0.0
ACGAMPM,0.0
ACGKm,2.8496387442286743e-16
ACGSm,0.0
ACHBSm,3.4170839204285346e-16
ACHLE1,0.0
ACHLE2,0.0
ACHLE3,0.0
ACLSm,9.948023245253805e-16
ACOAD1b,10.918918918918598
ACOAHim,0.0
ACOAO4p,0.0
ACOAO5p,0.0
ACOAO6p,0.0
ACOAO7p,0.0
ACOAO8p,0.0
ACOAO9p,0.0
ACOATA,0.0
ACOATAm,0.0
ACON3MT,0.0
ACONT,-1.6518106242021256e-15
ACONT3m,0.0
ACONTm,0.0
ACOTAim,2.8496387442286743e-16
ACP1e,0.0
ACPSm,0.0
ACRNtm,0.0
ACRNtp,0.0
ACS,2.4999999999995017
ACSm,2.310810810810819
ACSp,0.0
ACt2r,-10.918918918918981
ACtm,2.310810810810819
ACtp,0.0
ACtr,10.91891891891898
ADA,0.0
ADCL,0.0
ADCS,0.0
ADD,0.0
ADEt2,0.0
ADEtm,0.0
ADHAPR_SC,0.0
ADK1,2.4999999999996243
ADK1m,2.310810810810819
ADK3,0.0
ADK3m,0.0
ADK4,0.0
ADK4m,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,3.316007748417936e-17
ADNUC,0.0
ADNt2,0.0
ADPT,0.0
ADSK,1.0160815186328755e-16
ADSL1r,6.236714593209575e-14
ADSL2r,6.233716000106593e-14
ADSS,6.236714593209575e-14
AGAT_SC,4.379967453792674e-17
AGPRim,2.8496387442286753e-16
AGTi,0.0
AHCYStm,0.0
AHCi,3.3160077484179355e-17
AHMMPS,0.0
AHSERL,0.0
AHSERL2,1.0160815186328752e-16
AICART,6.245472754850985e-14
AIRCr,6.233716000106593e-14
AKGDam,0.0
AKGDbm,0.0
AKGMAL,0.0
AKGt2n,0.0
AKGt2r,0.0
AKGtp,0.0
AKP1,0.0
ALASm,0.0
ALATA_L,-8.135745213765501e-16
ALATA_Lm,0.0
ALATRS,0.0
ALAt2r,0.0
ALAtmi,0.0
ALCD19y,0.0
ALCD22xi,0.0
ALCD22xim,0.0
ALCD22yi,0.0
ALCD23xi,0.0
ALCD23xim,0.0
ALCD23yi,0.0
ALCD24xi,0.0
ALCD24xim,0.0
ALCD24yi,0.0
ALCD25xi,0.0
ALCD25xim,0.0
ALCD25yi,0.0
ALCD26xi,0.0
ALCD26xim,0.0
ALCD2ir,1.1351351351355001
ALCD2irm,0.0
ALCD2x_copy1,0.0
ALCD2x_copy2,0.0
ALDD19xr,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD22x,0.0
ALDD2xm,0.0
ALDD2y,4.810810810810322
ALDD2ym,0.0
ALLTAHr,0.0
ALLTN,0.0
ALLTNti,0.0
ALLTTti,0.0
ALPHNH,0.0
AMAOTr,0.0
AMETt2,0.0
AMETtm,0.0
AMID,0.0
AMID2,0.0
AMID3,0.0
AMPDA,0.0
AMPN,0.0
AMPtn,0.0
ANPRT,5.036075938773763e-17
ANS,5.036075938773764e-17
AOBUTDs,0.0
AP4AH,0.0
APRTO2,0.0
ARAB14LO,0.0
ARAB1D2,0.0
ARABR,0.0
ARAB_Dt,0.0
ARAB_Lt,0.0
ARGN,0.0
ARGSL,2.8496387442286753e-16
ARGSS,2.8496387442286753e-16
ARGTRS,0.0
ARGTRSm,0.0
ARGt2m,0.0
ARGt2r,0.0
ARGt6,0.0
ARMT,0.0
ASAD,-5.945945945945822
ASNN,0.0
ASNNe,0.0
ASNS1,1.8034117006101817e-16
ASNTRS,0.0
ASNTRSm,0.0
ASNt2m,0.0
ASNt2r,0.0
ASNt6,0.0
ASNt7,0.0
ASPCT,1.9612323902407668e-16
ASPGLU2m,0.0
ASPGLUtp,0.0
ASPK,5.945945945945821
ASPOcm,0.0
ASPTA,-5.945945945945948
ASPTAm,0.0
ASPTAp,0.0
ASPTRS,0.0
ASPTRSm,0.0
ASPt2m,9.583311211897696e-16
ASPt2n,0.0
ASPt2r,0.0
ASPt5n,0.0
ASPt7,0.0
ATHRDHr,0.0
ATP2tp_H,0.0
ATPATF1,0.0
ATPATF2,0.0
ATPATF3,0.0
